,drug,count
166,nilotinib,91
167,alemtuzumab,90
168,vemurafenib,90
169,stereotactic radiosurgery,89
170,prednisolone,88
171,regorafenib,88
172,immunoenzyme technique,88
173,imatinib,87
174,rad001,87
175,blood draw,87
176,reverse transcriptase-polymerase chain reaction,83
177,cytology specimen collection procedure,83
178,sbrt,81
179,veliparib,81
180,radiofrequency ablation,81
181,epirubicin hydrochloride,80
182,lenvatinib,80
183,ruxolitinib,80
184,mitoxantrone,78
185,diagnostic laboratory biomarker analysis,77
186,external beam radiation therapy,77
187,acupuncture,77
188,fludeoxyglucose f 18,76
189,leuprolide acetate,76
190,pemetrexed disodium,75
191,pegylated liposomal doxorubicin hydrochloride,74
192,dna analysis,74
193,tace,73
194,daunorubicin,73
195,asparaginase,73
196,standard of care,73
197,afatinib,72
198,control,71
199,axitinib,71
200,cabozantinib,71
201,pegaspargase,71
202,ofatumumab,71
203,counseling intervention,70
204,ramucirumab,69
205,goserelin acetate,68
206,vinblastine,68
207,vinorelbine tartrate,68
208,interleukin-2,68
209,bleomycin sulfate,67
210,immunologic technique,67
211,gm-csf,66
212,selumetinib,66
213,total body irradiation,66
214,crizotinib,66
215,therapeutic allogeneic lymphocytes,66
216,imiquimod,66
217,assessment of therapy complications,66
218,panobinostat,66
219,bone marrow ablation with stem cell support,66
220,mitomycin c,65
221,goserelin,65
222,dabrafenib,64
223,ixazomib,64
224,tipifarnib,64
225,thioguanine,63
226,observation,63
227,normal saline,63
228,rna analysis,62
229,romidepsin,62
230,epoetin alfa,62
231,lapatinib ditosylate,62
232,bevacizumab [avastin],61
233,blood sampling,60
234,mass spectrometry,60
235,lomustine,60
236,fluorescence in situ hybridization,59
237,imrt,59
238,cabazitaxel,58
239,cobimetinib,58
240,interview,57
241,saline,57
242,aspirin,56
243,plerixafor,56
244,abraxane,56
245,trabectedin,56
246,eribulin mesylate,56
247,folfiri,55
248,velcade,55
249,alvocidib,55
250,isotretinoin,54
251,selinexor,54
252,blood sample,54
253,umbilical cord blood transplantation,53
254,vismodegib,53
255,nimotuzumab,53
256,gemtuzumab ozogamicin,53
257,entinostat,52
258,folinic acid,52
259,amifostine trihydrate,52
260,vandetanib,52
261,study of socioeconomic and demographic variables,52
262,antineoplaston therapy (atengenal + astugenal),51
263,incomplete freund's adjuvant,51
264,herceptin,51
265,taxotere,51
266,icotinib,51
267,"sorafenib (nexavar, bay43-9006)",50
268,ribociclib,50
269,proteomic profiling,50
270,therapeutic hydrocortisone,49
271,bkm120,49
272,cytogenetic analysis,49
273,cognitive assessment,49
274,pharmacogenomic studies,49
275,abemaciclib,49
276,surgical procedure,49
277,vinblastine sulfate,49
278,hydroxyurea,48
279,osimertinib,48
280,flutamide,48
281,western blotting,48
282,cediranib maleate,48
283,therapeutic autologous lymphocytes,48
284,blinatumomab,48
285,survey,47
286,photodynamic therapy,47
287,eribulin,47
288,best supportive care,47
289,biospecimen collection,47
290,low-let photon therapy,47
291,colonoscopy,46
292,darbepoetin alfa,46
293,bleomycin,46
294,etoposide phosphate,46
295,hydroxychloroquine,46
296,vitamin d,46
297,adriamycin,46
298,dna methylation analysis,46
299,paclitaxel albumin-stabilized nanoparticle formulation,45
300,valproic acid,45
301,dynamic contrast-enhanced magnetic resonance imaging,45
302,informational intervention,45
303,non-interventional,44
304,standard care,44
305,biologic sample preservation procedure,44
306,liposomal doxorubicin,44
307,idelalisib,44
308,avastin,44
309,blood samples,43
310,cholecalciferol,43
311,midazolam,43
312,folic acid,43
313,placebo oral tablet,43
314,il-2,43
315,pazopanib hydrochloride,43
316,dexmedetomidine,43
317,stem cell transplant,43
318,alisertib,42
319,cladribine,42
320,ara-c,42
321,medi4736,42
322,denosumab,42
323,ketoconazole,42
324,folfox regimen,42
325,stereotactic body radiotherapy,41
326,leukapheresis,41
327,indocyanine green,41
328,perifosine,41
329,bibw 2992,41
330,epacadostat,41
331,stereotactic body radiation therapy (sbrt),41
332,data collection,41
333,cryotherapy,41
334,curcumin,41
335,laparoscopic surgery,40
336,radical prostatectomy,40
337,sentinel lymph node biopsy,40
338,niraparib,40
339,nonmyeloablative allogeneic hematopoietic stem cell transplantation,40
340,abiraterone,40
341,telephone-based intervention,40
342,pet/ct,40
343,folfox,39
344,pegylated liposomal doxorubicin,39
345,shr-1210,39
346,chlorambucil,39
347,simvastatin,39
348,internet-based intervention,38
349,clinical observation,38
350,itraconazole,38
351,calcitriol,38
352,procarbazine hydrochloride,38
353,gp100 antigen,38
354,hypofractionated radiation therapy,38
355,propofol,38
356,neratinib,38
357,etanercept,38
358,placebos,37
359,anlotinib,37
360,surgical resection,37
361,capecitabine [xeloda],36
362,in vitro-treated peripheral blood stem cell transplantation,36
363,apalutamide,36
364,dactinomycin,36
365,bryostatin 1,36
366,nintedanib,36
367,aprepitant,36
368,high performance liquid chromatography,36
369,physical activity,35
370,elotuzumab,35
371,enzastaurin,35
372,control group,35
373,rucaparib,34
374,oblimersen sodium,34
375,ultrasound,34
376,cryosurgery,34
377,bupivacaine,34
378,palifermin,34
379,bendamustine hydrochloride,34
380,alt-803,34
381,lidocaine,34
382,therapeutic autologous dendritic cells,33
383,trastuzumab emtansine,33
384,tanespimycin,33
385,ascorbic acid,33
386,pdr001,32
387,intensity modulated radiation therapy,32
388,enzyme-linked immunosorbent assay,32
389,dietary intervention,32
390,low-let cobalt-60 gamma ray therapy,32
391,endostar,31
392,metformin hydrochloride,31
393,stem cell infusion,31
394,stem cell transplantation,31
395,cryoablation,31
396,pet scan,31
397,lbh589,31
398,floxuridine,31
399,belinostat,31
400,rapamycin,31
401,external beam radiotherapy,30
402,fenretinide,30
403,ridaforolimus,30
404,study of high risk factors,30
405,motexafin gadolinium,30
406,standard follow-up care,30
407,vindesine,30
408,best practice,30
409,bosutinib,30
410,recombinant interleukin-12,30
411,ondansetron,30
412,thymoglobulin,30
413,talimogene laherparepvec,30
414,acalabrutinib,29
415,atorvastatin,29
416,triapine,29
417,akt inhibitor mk2206,29
418,pentostatin,29
419,blood collection,29
420,microwave ablation,29
421,rfa,29
422,chidamide,29
423,estramustine phosphate sodium,29
424,folfirinox,29
425,ketamine,28
426,acetaminophen,28
427,bibf 1120,28
428,fatigue assessment and management,28
429,byl719,28
430,fentanyl,28
431,pioglitazone,28
432,doxil,28
433,o6-benzylguanine,28
434,tumor biopsy,28
435,yoga,27
436,cixutumumab,27
437,dovitinib,27
438,sipuleucel-t,27
439,stereotactic body radiotherapy (sbrt),27
440,folfiri regimen,27
441,erlotinib [tarceva],27
442,ultrasound imaging,27
443,semaxanib,27
444,mfolfox6,27
445,evaluation of cancer risk factors,27
446,mk-3475,27
447,total body irradiation (tbi),27
448,talazoparib,27
449,ziv-aflibercept,27
450,yttrium y 90 ibritumomab tiuxetan,26
451,xeloda,26
452,allopurinol,26
453,cediranib,26
454,clarithromycin,26
455,morphine,26
456,tretinoin,26
457,physiologic testing,26
458,cilengitide,26
459,clomiphene citrate,26
460,triptorelin,26
461,leuprolide,26
462,esophagectomy,26
463,biological therapy,26
464,paricalcitol,26
465,systemic chemotherapy,25
466,ponatinib,25
467,midostaurin,25
468,glutamine,25
469,"regorafenib (stivarga, bay73-4506)",25
470,doxycycline,25
471,ferumoxytol,25
472,adjuvant chemotherapy,25
473,fludeoxyglucose f-18,25
474,aflibercept,25
475,omeprazole,25
476,hydrocortisone,25
477,behavioral dietary intervention,25
478,propranolol,25
479,nelarabine,25
480,gsk1120212,24
481,chemoradiotherapy,24
482,ct scan,24
483,gabapentin,24
484,vitamin d3,24
485,tocilizumab,24
486,mart-1 antigen,24
487,standard treatment,24
488,neoadjuvant chemotherapy,24
489,pain therapy,24
490,standard chemotherapy,24
491,vitamin e,24
492,magnetic resonance spectroscopic imaging,24
493,vinflunine,24
494,lee011,24
495,su011248,24
496,phone call,23
497,protein analysis,23
498,radionuclide imaging,23
499,azd6244,23
500,dexrazoxane hydrochloride,23
501,alectinib,23
502,autologous tumor cell vaccine,23
503,endocrine therapy,23
504,poly iclc,23
505,hypofractionated radiotherapy,23
506,phone calls,23
507,surveys,23
508,low-let electron therapy,23
509,intervention,22
510,abt-263,22
511,raltitrexed,22
512,ixazomib citrate,22
513,megestrol acetate,22
514,magnetic resonance imaging (mri),22
515,azd1775,22
516,vitamin b12,22
517,brivanib,22
518,sevoflurane,22
519,tomotherapy,22
520,irreversible electroporation (ire),22
521,eltrombopag,22
522,chemoradiation,22
523,autologous stem cell transplantation,22
524,bexarotene,22
525,inotuzumab ozogamicin,22
526,adalimumab,22
527,treosulfan,22
528,5-fluorouracil (5-fu),22
529,azd5363,22
530,tyrosinase peptide,22
531,851b,22
532,abi-007,21
533,comparative genomic hybridization,21
534,chop regimen,21
535,hipec,21
536,nucleic acid sequencing,21
537,mifepristone,21
538,dutasteride,21
539,attention control,21
540,allogeneic stem cell transplantation,21
541,intensity-modulated radiotherapy,21
542,bone marrow aspiration,21
543,blood draws,21
544,ropivacaine,21
545,amg 386,21
546,acetylsalicylic acid,21
547,revlimid,21
548,vinorelbine ditartrate,21
549,proton therapy,21
550,tivantinib,21
551,stereotactic radiotherapy,21
552,ceritinib,21
553,dalteparin,21
554,melatonin,21
555,diffusion-weighted magnetic resonance imaging,21
556,gi-4000,20
557,pevonedistat,20
558,blood test,20
559,zidovudine,20
560,liquid chromatography,20
561,diphenhydramine,20
562,vehicle gel,20
563,inc280,20
564,recombinant interferon alfa-2b,20
565,pralatrexate,20
566,xelox,20
567,porfimer sodium,20
568,tas-102,20
569,ribavirin,20
570,bcg vaccine,19
571,blood sample collection,19
572,ganetespib,19
573,infliximab,19
574,cytoxan,19
575,taxol,19
576,"radium-223 dichloride (xofigo, bay88-8223)",19
577,active surveillance,19
578,lde225,19
579,binimetinib,19
580,gamma-secretase/notch signalling pathway inhibitor ro4929097,19
581,amg 706,19
582,auy922,19
583,deferasirox,19
584,pet-ct,19
585,olaratumab,19
586,copanlisib,19
587,enoxaparin,19
588,sulindac,19
589,octreotide,19
590,transarterial chemoembolization,19
591,best supportive care (bsc),19
592,7-hydroxystaurosporine,19
593,azd2014,19
594,in vitro-treated bone marrow transplantation,19
595,mek162,18
596,azd2171,18
597,amg 479,18
598,mri scan,18
599,nelfinavir,18
600,tarceva,18
601,estramustine,18
602,sham acupuncture,18
603,education,18
604,intensity modulated radiotherapy,18
605,proton beam radiation therapy,18
606,pharmacokinetic study,18
607,open surgery,18
608,interferon alfa-2b,18
609,nk immunotherapy,18
610,etbx-061,18
611,6-mercaptopurine,18
612,colposcopy,18
613,hyperthermia treatment,18
614,oxycodone,18
615,incb050465,18
616,genistein,18
617,internal radiation therapy,18
618,pet/ct scan,18
619,pasireotide,18
620,etbx-011,18
621,octreotide acetate,18
622,cytoreductive surgery,18
623,pharmacogenomic study,18
624,asoprisnil,18
625,imc-a12,18
626,endoscopy,17
627,plx3397,17
628,relatlimab,17
629,exercise training,17
630,cmf regimen,17
631,single photon emission computed tomography,17
632,irofulven,17
633,ciprofloxacin,17
634,etbx-051,17
635,suramin,17
636,saracatinib,17
637,nanoknife,17
638,folfoxiri,17
639,olanzapine,17
640,peg-asparaginase,17
641,cpx-351,17
642,l-asparaginase,17
643,gi-6301,17
644,tivozanib,17
645,zd1839,17
646,denileukin diftitox,17
647,selenium,17
648,autologous stem cell transplant,17
649,radiosurgery,17
650,dexrazoxane,17
651,palonosetron,17
652,pep005,17
653,patient navigation,17
654,gilteritinib,17
655,zd6474,17
656,pf-00299804,17
657,amifostine,17
658,vehicle,17
659,total marrow irradiation,17
660,sodium thiosulfate,17
661,lymphadenectomy,17
662,pimasertib,17
663,minocycline,17
664,th-302,17
665,radical cystectomy,17
666,cabozantinib s-malate,17
667,observational,17
668,irreversible electroporation,16
669,accelerated partial breast irradiation,16
670,pregabalin,16
671,whole breast irradiation,16
672,rituximab [mabthera/rituxan],16
673,bbi608,16
674,therapeutic tumor infiltrating lymphocytes,16
675,liver resection,16
676,smoking cessation intervention,16
677,interviews,16
678,tranexamic acid,16
679,necitumumab,16
680,tki258,16
681,phlebotomy,16
682,methylphenidate,16
683,chop,16
684,allostim,16
685,itacitinib,16
686,nedaplatin,16
687,buparlisib,16
688,quality of life assessment,16
689,rifampin,16
690,rubitecan,16
691,tazemetostat,16
692,bevacizumab (avastin),16
693,screening questionnaire administration,16
694,trastuzumab [herceptin],16
695,cytokine-induced killer cells,16
696,exatecan mesylate,16
697,mln9708,16
698,tirapazamine,16
699,mycophenolate mofetil (mmf),15
700,poly-iclc,15
701,guadecitabine,15
702,mln0128,15
703,intensity modulated radiation therapy (imrt),15
704,azd9291,15
705,sapacitabine,15
706,quality of life questionnaires,15
707,t-dm1,15
708,aminolevulinic acid,15
709,acupuncture therapy,15
710,ketogenic diet,15
711,hepatectomy,15
712,cc-5013,15
713,atra,15
714,armodafinil,15
715,ag-013736,15
716,bez235,15
717,azd6738,15
718,bcnu,15
719,cc-122,15
720,supportive care,15
721,stereotactic ablative radiotherapy,15
722,ngr-htnf,15
723,prostatectomy,15
724,isatuximab sar650984,15
725,hepatic resection,15
726,everolimus (rad001),15
727,epoetin beta,15
728,campath,15
729,prostate biopsy,15
730,e7389,15
731,clinimacs,15
732,stereotactic radiosurgery (srs),15
733,peripheral blood draw,15
734,recombinant interferon gamma,15
735,vilaprisan (bay1002670),15
736,duvelisib,15
737,intraoperative radiotherapy,15
738,bms-986205,15
739,bavituximab,15
740,toremifene,15
741,hpph,15
742,apixaban,14
743,decision aid,14
744,hyperthermia,14
745,"cp-751,871",14
746,omega-3 fatty acid,14
747,comparison of screening methods,14
748,cyberknife,14
749,abt-888,14
750,bronchoscopy,14
751,imc-11f8,14
752,amrubicin,14
753,yttrium y 90 glass microspheres,14
754,calcium carbonate,14
755,induction chemotherapy,14
756,tegafur-gimeracil-oteracil potassium,14
757,monitoring device,14
758,masitinib,14
759,morphine sulfate,14
760,peg-interferon alfa-2b,14
761,fluconazole,14
762,gene rearrangement analysis,14
763,pacritinib,14
764,pf-04449913,14
765,image-guided radiation therapy,14
766,warfarin,14
767,pegylated liposomal doxorubicin (pld),14
768,abt-199,14
769,ipatasertib,14
770,trc105,14
771,ef5,14
772,robot-assisted laparoscopic surgery,14
773,volasertib,14
774,nk cells,14
775,tbi,14
776,ulipristal acetate,14
777,placebo oral capsule,14
778,proton beam therapy,14
779,qs21,14
780,apheresis,14
781,standard colonoscopy,14
782,donor lymphocyte infusion,14
783,lhrh agonist,14
784,modafinil,14
785,aldoxorubicin,14
786,paclitaxel poliglumex,14
787,axitinib (ag-013736),14
788,correlative studies,14
789,antiandrogen therapy,14
790,voriconazole,14
791,ranibizumab,14
792,graft-versus-tumor induction therapy,14
793,valacyclovir,14
794,brigatinib,13
795,pancreaticoduodenectomy,13
796,nicotine patch,13
797,disulfiram,13
798,dinaciclib,13
799,atg,13
800,screening colonoscopy,13
801,sintilimab,13
802,palliative care,13
803,loss of heterozygosity analysis,13
804,ultrasonography,13
805,pentoxifylline,13
806,ganciclovir,13
807,pet/mri,13
808,hank,13
809,eflornithine,13
810,physical activity intervention,13
811,mk-2206,13
812,liver transplantation,13
813,alimta,13
814,lorlatinib,13
815,focus group,13
816,vatalanib,13
817,counseling,13
818,arq 197,13
819,onc201,13
820,rrx-001,13
821,becatecarin,13
822,docetaxel and cisplatin,13
823,focus groups,13
824,patupilone,13
825,cinacalcet,13
826,"cp-675,206",13
827,gi-6207,13
828,bone marrow transplantation,13
829,montanide isa 51 vg,13
830,tgr-1202,13
831,tpi 287,13
832,dalotuzumab,13
833,osi-906,13
834,prehabilitation,13
835,ispinesib,13
836,r-chop,13
837,tegafur-uracil,13
838,behavioral intervention,13
839,optical coherence tomography,13
840,mannitol,13
841,pf-3512676,13
842,pf-03084014,13
843,pd-0332991,13
844,posaconazole,13
845,needle biopsy,13
846,intraoperative radiation therapy,13
847,18f-dcfpyl,13
848,ldk378,13
849,digoxin,13
850,peg-rhg-csf,13
851,ap1903,13
852,androgen deprivation therapy,13
853,aromatase inhibitor,13
854,rovalpituzumab tesirine,13
855,gamma-secretase inhibitor ro4929097,13
856,gardasil,12
857,ingenol mebutate,12
858,herceptin®,12
859,procarbazine,12
860,bl-8040,12
861,enzyme inhibitor therapy,12
862,radiomammography,12
863,rg1507,12
864,ro5185426,12
865,keyhole limpet hemocyanin,12
866,rosuvastatin,12
867,defined green tea catechin extract,12
868,dacomitinib,12
869,valganciclovir,12
870,s1,12
871,sham intervention,12
872,registry,12
873,hyperthermic intraperitoneal chemotherapy,12
874,adi-peg 20,12
875,ublituximab,12
876,all-trans retinoic acid (atra),12
877,etelcalcetide,12
878,lovastatin,12
879,gastrectomy,12
880,placebo comparator,12
881,palonosetron hydrochloride,12
882,bgj398,12
883,laromustine,12
884,donor lymphocyte infusion (dli),12
885,g17dt,12
886,isolated perfusion,12
887,gemcitabine and cisplatin,12
888,mitomycin,12
889,skin biopsy,12
890,proton radiation,12
891,adavosertib,12
892,gvax,12
893,lirilumab,12
894,methadone,12
895,lgx818,12
896,mpdl3280a,12
897,abt-869,12
898,dc vaccine,12
899,molecular breast imaging,12
900,regn2810,12
901,ad5cmv-p53 gene,12
902,gleevec,12
903,bgb-3111,12
904,lonafarnib,12
905,communication intervention,12
906,imiquimod 5% cream,12
907,sgi-110,12
908,5-azacytidine,12
909,gsk2118436,12
910,lycopene,12
911,wbrt,12
912,capecitabine (xeloda),12
913,gadolinium,12
914,mln8237,12
915,5fu,12
916,azd4547,12
917,whole body mri,12
918,m7824,12
919,granulocyte colony-stimulating factor (g-csf),12
920,radiation therapy treatment planning/simulation,12
921,placebo gel,12
922,axillary lymph node dissection,12
923,nelfinavir mesylate,12
924,azd2281,11
925,5 fluorouracil,11
926,caphosol,11
927,video,11
928,rituxan,11
929,standard therapy,11
930,cytosine arabinoside,11
931,ruxolitinib phosphate,11
932,high intensity focused ultrasound,11
933,placebo control,11
934,cabergoline,11
935,endoscopic submucosal dissection,11
936,"6,8-bis(benzylthio)octanoic acid",11
937,eras protocols,11
938,high-intensity focused ultrasound ablation,11
939,computer-assisted intervention,11
940,nilutamide,11
941,lanreotide,11
942,aerobic exercise,11
943,abt-751,11
944,folfox4,11
945,"atezolizumab (mpdl3280a), an engineered anti-pd-l1 antibody",11
946,tak-659,11
947,indocyanine green (icg),11
948,zoledronate,11
949,quizartinib,11
950,"nexavar (sorafenib, bay43-9006)",11
951,cyclophosphamide (cy),11
952,gadopentetate dimeglumine,11
953,utomilumab,11
954,siltuximab,11
955,collagenase clostridium histolyticum,11
956,ontak,11
957,prexasertib,11
958,pci-32765,11
959,paclitaxel and carboplatin,11
960,physical therapy,11
961,dendritic cell vaccine,11
962,oral azacitidine,11
963,mammography,11
964,imc-a12 (cixutumumab),11
965,catumaxomab,11
966,azacytidine,11
967,laser therapy,11
968,positron emission tomography/computed tomography,11
969,pyrotinib,11
970,cisplatinum,11
971,epratuzumab,11
972,remifentanil,11
973,erlotinib (tarceva),11
974,idasanutlin,11
975,hematopoietic cell transplantation,11
976,raloxifene,11
977,campath-1h,11
978,antithymocyte globulin,11
979,laparoscopic gastrectomy,11
980,hematopoietic stem cell transplantation,11
981,zometa,11
982,imaging,11
983,mgcd0103,11
984,zoladex,11
985,rexin-g,11
986,cpt-11,11
987,tmz,11
988,biomarker analysis,11
989,prophylactic cranial irradiation,11
990,aromatase inhibitors,11
991,calcium,11
992,ly3023414,11
993,treatment,11
994,cabazitaxel (xrp6258),11
995,cc-486,11
996,tadalafil,11
997,zalutumumab,10
998,zevalin,10
999,lipiodol,10
1000,magnesium sulfate,10
1001,montanide isa-51,10
1002,navitoclax,10
1003,zd6474 (vandetanib),10
1004,ku-0059436 (azd2281)(parp inhibitor),10
1005,rasburicase,10
1006,dinutuximab,10
1007,bortezomib (velcade),10
1008,esomeprazole,10
1009,radiation therapy (rt),10
1010,lintuzumab,10
1011,cpi-613,10
1012,whole brain radiation therapy,10
1013,at-101,10
1014,conventional radiotherapy,10
1015,interferon-alpha,10
1016,transarterial chemoembolization (tace),10
1017,crenolanib,10
1018,her-2/neu peptide vaccine,10
1019,intensity modulated radiotherapy (imrt),10
1020,oregovomab,10
1021,tositumomab and iodine i 131 tositumomab,10
1022,transcatheter arterial chemoembolization,10
1023,mfolfirinox,10
1024,alpelisib,10
1025,fdg-pet/ct,10
1026,recombinant human endostatin,10
1027,whole brain radiotherapy,10
1028,xl999,10
1029,cervarix,10
1030,pazopanib (gw786034),10
1031,placebo group,10
1032,multivitamin,10
1033,chloroquine,10
1034,pegph20,10
1035,enzastaurin hydrochloride,10
1036,hyperbaric oxygen,10
1037,pet/ct imaging,10
1038,myomectomy,10
1039,filgrastim (g-csf),10
1040,medi-538,10
1041,ipi-504,10
1042,sapanisertib,10
1043,satraplatin,10
1044,cone-beam computed tomography,10
1045,avastin (bevacizumab),10
1046,placebo capsule,10
1047,endoscopic biopsy,10
1048,pet,10
1049,endoscopic mucosal resection,10
1050,histopathologic examination,10
1051,varenicline,10
1052,pd-1 antibody,10
1053,erdafitinib,10
1054,obatoclax mesylate,10
1055,progesterone,10
1056,indomethacin,10
1057,pasireotide lar,10
1058,etbx-021,10
1059,snx-5422,10
1060,ym155,10
1061,screening,10
1062,on 01910.na,10
1063,diet,10
1064,tesetaxel,10
1065,tasquinimod,10
1066,velcade (bortezomib),10
1067,physical exercise,10
1068,entecavir,10
1069,trivalent influenza vaccine,10
1070,ganitumab,10
1071,proton beam radiation,10
1072,pld,10
1073,paravertebral block,10
1074,donor lymphocytes,10
1075,1121b,10
1076,mm-121,10
1077,ombrabulin (ave8062),10
1078,pet imaging,10
1079,p276-00,10
1080,cancer prevention intervention,10
1081,exisulind,10
1082,androgen deprivation therapy (adt),10
1083,resiquimod,10
1084,apatinib mesylate tablets,10
1085,pralatrexate injection,10
1086,radiofrequency ablation (rfa),10
1087,saline solution,10
1088,diffusion tensor imaging,10
1089,orteronel,10
1090,lymphangiography,10
1091,embolization,10
1092,fdg-pet,10
1093,lithium carbonate,10
1094,thoracic radiotherapy,10
1095,open gastrectomy,10
1096,fluorescence activated cell sorting,10
1097,matrix-assisted laser desorption/ionization time of flight mass spectrometry,10
1098,breast biopsy,10
1099,breast imaging study,10
1100,pf-00337210,10
1101,external beam radiation,10
1102,interventional therapy,10
1103,contrast-enhanced magnetic resonance imaging,10
1104,orchiectomy,10
1105,cat-8015 (moxetumomab pasudotox),10
1106,lurbinectedin (pm01183),10
1107,xl184,10
1108,technetium tc 99m sulfur colloid,10
1109,5-azacitidine,10
1110,resistance training,10
1111,nutritional counseling,10
1112,mkc-1,9
1113,sym004,9
1114,palliative radiation therapy,9
1115,massage therapy,9
1116,ibandronate,9
1117,lovaza,9
1118,digital mammography,9
1119,glivec,9
1120,nktr-102,9
1121,5-fluoruracil,9
1122,stereotactic radiation,9
1123,short course radiotherapy,9
1124,paclitaxel + carboplatin,9
1125,fluorescein,9
1126,proton radiotherapy,9
1127,isosulfan blue,9
1128,liposomal cytarabine,9
1129,electrochemotherapy,9
1130,fluorothymidine f-18,9
1131,influenza vaccine,9
1132,5fluorouracil,9
1133,breast surgery,9
1134,conventional laparoscopic surgery,9
1135,antiangiogenesis therapy,9
1136,total lymphoid irradiation,9
1137,patient observation,9
1138,early palliative care,9
1139,ibuprofen,9
1140,omacetaxine mepesuccinate,9
1141,everolimus placebo,9
1142,mt-3724,9
1143,support group therapy,9
1144,romiplostim,9
1145,routine care,9
1146,vp-16,9
1147,peptide vaccine,9
1148,imaging biomarker analysis,9
1149,bay 43-9006,9
1150,rilotumumab,9
1151,dc-cik,9
1152,pulmonary rehabilitation,9
1153,lamivudine,9
1154,azd9150,9
1155,onartuzumab,9
1156,entospletinib,9
1157,whole-brain radiation therapy,9
1158,health education,9
1159,bbi503,9
1160,famitinib,9
1161,savolitinib,9
1162,omacetaxine,9
1163,biological samples,9
1164,tak-228,9
1165,genetic testing,9
1166,nab paclitaxel,9
1167,lifestyle intervention,9
